sbj_num,producto1,olor,color,overall_liking,sal,queso,crujiente,textura,porosidad
181058873,Fórmula 182,2,2,9,2,2,2,2,2
181058873,Fórmula 781,3,3,3,3,3,1,1,1
180966979,Fórmula 781,2,3,7,2,2,2,2,2
180966979,Fórmula 182,3,1,7,2,1,2,2,2
181162950,Fórmula 781,1,1,8,1,3,1,1,1
181162950,Fórmula 182,1,1,6,1,1,1,1,3
180977130,Fórmula 182,2,2,8,2,2,2,2,2
180977130,Fórmula 781,3,3,6,3,3,1,1,1
181071540,Fórmula 182,2,2,9,1,2,2,2,2
181071540,Fórmula 781,2,2,9,2,2,2,3,2
181109816,Fórmula 182,2,2,9,2,2,2,2,2
181109816,Fórmula 781,2,2,9,2,2,2,2,2
181119549,Fórmula 781,1,3,7,2,2,2,2,3
181119549,Fórmula 182,3,1,7,1,2,1,1,2
181068457,Fórmula 182,2,3,9,2,2,2,2,2
181068457,Fórmula 781,3,3,8,1,3,2,3,3
180975607,Fórmula 781,3,3,9,1,3,3,2,3
180975607,Fórmula 182,3,3,8,1,1,2,3,3
180971800,Fórmula 781,1,1,8,2,2,3,2,1
180971800,Fórmula 182,1,1,6,1,1,1,1,3
181031763,Fórmula 182,2,2,8,2,2,3,2,2
181031763,Fórmula 781,2,3,9,3,2,2,2,2
181111833,Fórmula 781,1,1,6,1,1,1,1,1
181111833,Fórmula 182,3,3,9,3,3,3,3,3
181060203,Fórmula 781,1,1,6,1,1,1,1,1
181060203,Fórmula 182,3,3,8,3,1,1,3,3
181113151,Fórmula 781,3,3,8,2,1,1,2,2
181113151,Fórmula 182,1,1,8,3,3,2,2,2
181123191,Fórmula 781,1,3,9,2,1,1,2,2
181123191,Fórmula 182,3,1,5,3,1,1,2,1
181062032,Fórmula 182,2,2,9,2,2,2,2,2
181062032,Fórmula 781,2,3,7,1,2,2,2,2
181116746,Fórmula 781,1,1,6,1,1,2,2,2
181116746,Fórmula 182,2,2,9,2,2,2,2,2
180968506,Fórmula 182,2,2,6,1,1,2,1,1
180968506,Fórmula 781,2,2,9,2,2,2,2,2
181064017,Fórmula 182,1,1,6,2,1,2,1,1
181064017,Fórmula 781,2,2,9,2,2,2,2,2
180964077,Fórmula 182,3,1,1,1,1,1,1,1
180964077,Fórmula 781,1,3,9,3,3,3,3,3
180945745,Fórmula 182,2,2,8,3,2,2,2,2
180945745,Fórmula 781,2,2,9,1,2,2,1,2
181015718,Fórmula 182,1,1,7,3,3,2,2,3
181015718,Fórmula 781,2,2,9,2,3,3,2,1
181066193,Fórmula 182,1,2,9,3,2,2,1,2
181066193,Fórmula 781,2,2,8,2,2,2,2,2
181069425,Fórmula 182,2,3,8,3,2,2,2,2
181069425,Fórmula 781,1,3,7,2,1,2,2,2
180965815,Fórmula 182,3,2,9,3,2,1,2,2
180965815,Fórmula 781,2,2,9,2,2,1,2,1
180967385,Fórmula 182,2,2,7,3,2,2,2,2
180967385,Fórmula 781,1,3,8,2,2,2,2,2
180948517,Fórmula 182,1,1,8,1,1,1,3,1
180948517,Fórmula 781,1,3,7,1,1,1,1,1
181022935,Fórmula 781,2,2,9,1,2,2,3,3
181022935,Fórmula 182,2,3,9,1,3,2,3,2
181021309,Fórmula 182,2,2,6,1,1,2,2,2
181021309,Fórmula 781,3,3,7,2,2,2,2,2
181124257,Fórmula 781,1,3,7,1,1,3,1,3
181124257,Fórmula 182,3,1,6,1,1,1,1,1
181010391,Fórmula 182,2,2,8,3,2,1,2,1
181010391,Fórmula 781,2,2,9,2,2,2,2,2
180977207,Fórmula 781,2,2,8,3,2,2,3,3
180977207,Fórmula 182,1,1,4,3,2,2,1,1
